Qty,Item,Purchase Link
1,ESP-WROOM-32 ESP32 Development Board,https://www.amazon.com/dp/B0B82BBKCY?ref=fed_asin_title&th=1
1,ESP32-DevKitC-32 Expansion Board for Arduino,https://www.amazon.com/dp/B0B82BBKCY?ref=fed_asin_title&th=1
1,HiLetgo ADS1115 16-Bit 4-Channel I2C ADC (3-pack),https://www.amazon.com/dp/B07VPFLSMX?ref=fed_asin_title
1,KEYESTUDIO TDS Meter Probe Water Quality Sensor,https://www.amazon.com/dp/B08DGLY3J2?ref=fed_asin_title
1,DC 12V Relay Module 4 Channel with Optocoupler,https://www.amazon.com/dp/B098DXRTT8?ref=fed_asin_title&th=1
1,"Submersible Liquid Level Sensor, 1m Range, 5m Cable",https://www.amazon.com/dp/B0CSWFWCVK?ref=fed_asin_title&th=1
2,Peristaltic Dosing Pump 12V with 4 Connectors,https://www.amazon.com/dp/B0DC9TF1BS?ref=fed_asin_title&th=1
1,Gikfun DS18B20 Waterproof Temperature Sensor (5-pack),https://www.amazon.com/Gikfun-DS18B20-Temperature-Waterproof-EK1083x3/dp/B012C597T0
1,"Beduan Brass Electric Solenoid Valve 1/2"" 12V",https://www.amazon.com/dp/B07N6246YB?ref=fed_asin_title&th=1
1,4PCS 50KG Load Cell with HX711 Module,https://www.amazon.com/dp/B0CWLHXHMD?ref=fed_asin_title
2,1N5819 Schottky Diode 1A 40V,https://www.amazon.com/dp/B0CKSHSWPS?ref=fed_asin_title
2,IRLZ44N MOSFET 47A 55V Logic Level TO-220,https://www.amazon.com/dp/B0CBKH4XGL?ref=fed_asin_title
